Action*,ID,Name*,Description,Contract ID,Contract Number,UOM ID**,UOM code**,List Price,List Price Currency ID,List Price Currency Code,Source Part Num,Lead Time,Image URL
add,2331,"Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 01.80 m",4,Hired Services,2,Week,8.65,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2332,"Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 02.50 m",4,Hired Services,2,Week,1.25,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2333,"Scaffold, Tower, Narrow Width, Alloy, 05.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 05.20 m x 01.80 m",4,Hired Services,2,Week,2.65,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2334,"Scaffold, Tower, Narrow Width, Alloy, 05.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 05.20 m x 02.50 m",4,Hired Services,2,Week,2.65,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2335,"Scaffold, Tower, Narrow Width, Alloy, 05.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 05.70 m x 01.80 m",4,Hired Services,2,Week,2.65,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2336,"Scaffold, Tower, Narrow Width, Alloy, 05.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 05.70 m x 02.50 m",4,Hired Services,2,Week,2.65,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2337,"Scaffold, Tower, Narrow Width, Alloy, 06.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 06.20 m x 01.80 m",4,Hired Services,2,Week,24.05,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2338,"Scaffold, Tower, Narrow Width, Alloy, 06.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 06.20 m x 02.50 m",4,Hired Services,2,Week,2.59,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2339,"Scaffold, Tower, Narrow Width, Alloy, 06.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 06.70 m x 01.80 m",4,Hired Services,2,Week,4.00,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2340,"Scaffold, Tower, Narrow Width, Alloy, 06.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 06.70 m x 02.50 m",4,Hired Services,2,Week,36.00,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2341,"Scaffold, Tower, Narrow Width, Alloy, 07.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 07.20 m x 01.80 m",4,Hired Services,2,Week,11.00,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2342,"Scaffold, Tower, Narrow Width, Alloy, 07.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 07.20 m x 02.50 m",4,Hired Services,2,Week,1.65,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2343,"Scaffold, Tower, Narrow Width, Alloy, 07.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 07.70 m x 01.80 m",4,Hired Services,2,Week,15.80,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2344,"Scaffold, Tower, Narrow Width, Alloy, 07.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 07.70 m x 02.50 m",4,Hired Services,2,Week,36.00,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2345,"Scaffold, Tower, Narrow Width, Alloy, 08.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 08.20 m x 01.80 m",4,Hired Services,2,Week,2.59,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2346,"Scaffold, Tower, Narrow Width, Alloy, 08.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 08.20 m x 02.50 m",4,Hired Services,2,Week,5.00,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2347,"Scaffold, Tower, Narrow Width, Alloy, 08.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 08.70 m x 01.80 m",4,Hired Services,2,Week,1.20,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2348,"Scaffold, Tower, Narrow Width, Alloy, 08.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 08.70 m x 02.50 m",4,Hired Services,2,Week,1.20,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
add,2349,"Scaffold, Tower, Narrow Width, Alloy, 09.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 09.20 m x 01.80 m",4,Hired Services,2,Week,1.20,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
